pair_id,utterance_id,target_text,target_kana,mora_count,reference_speaker,user_speaker,reference_audio_path,user_audio_path,mode,alignment_mode,content_status,prosody_score,f0_coverage,pitch_target_source,pitch_target_reliability,contour_corr,transition_agreement,hl_match,accent_drop_match,final_intonation_score,component_contour,component_transition,component_hl,component_final,unavailable_reason,notes
jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,native_cross_speaker_reference_audio_f0_cache,lab_phone_mora,same_transcript_control,91,1.0,reference_audio_f0_cache,reliable,0.8822572511703829,0.9210526315789473,0.8913043478260869,1.0,100,0.8941575665981139,0.9210526315789473,0.8913043478260869,1.0,,speaker A lab-timed native F0 contour used as verified reference cache target; speaker B same sentence scored as user
jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,native_cross_speaker_openjtalk_target,lab_phone_mora,same_transcript_control,58,1.0,openjtalk_accent_phrase_chain,heuristic,-0.004255291053198167,0.5918367346938775,0.5434782608695652,0.3333333333333333,100,0.49621249771167963,0.5918367346938775,0.5434782608695652,1.0,,same speaker B native audio scored against OpenJTalk accent phrase target
jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,flat_pitch_correct_content,lab_phone_mora,same_transcript_control,47,1.0,reference_audio_f0_cache,reliable,0.0,0.33656509695290854,0.5434782608695652,0.0,45,0.5319592011297252,0.33656509695290854,0.5434782608695652,0.45,,"semi-audio counterfactual: real same-sentence timing/content, flattened user F0"
jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,shuffled_random_pitch_correct_content,lab_phone_mora,same_transcript_control,59,1.0,reference_audio_f0_cache,reliable,-0.04675947791398036,0.6509695290858726,0.5,1.0,100,0.47915695960257465,0.6509695290858726,0.5,1.0,,"semi-audio counterfactual: real same-sentence timing/content, shuffled valid user F0 values"
jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,wrong_accent_drop_correct_content,lab_phone_mora,same_transcript_control,85,1.0,reference_audio_f0_cache,reliable,0.7930125435429656,0.7977839335180056,0.8478260869565217,0.0,100,0.8450281234202,0.7977839335180056,0.8478260869565217,1.0,,semi-audio counterfactual: same content/timing with accent-drop transition suppressed or contradicted
jvs001->jvs002:VOICEACTRESS100_001,VOICEACTRESS100_001,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,マタトージノヨーニゴダイミョーオートヨバレルシュヨーナミョーオーノチューオーニハイサレルコトモオーイ,46,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav,low_f0_coverage_correct_content,lab_phone_mora,same_transcript_control,50,0.0435,reference_audio_f0_cache,reliable,,,,,,,,,,insufficient_valid_mora_f0,semi-audio counterfactual: same content/timing with insufficient voiced mora F0
jvs001->jvs002:VOICEACTRESS100_002,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,native_cross_speaker_reference_audio_f0_cache,lab_phone_mora,same_transcript_control,81,0.9615,reference_audio_f0_cache,reliable,0.8389176367043673,0.85,0.8,0.0,45,0.8693699550562533,0.85,0.8,0.45,,speaker A lab-timed native F0 contour used as verified reference cache target; speaker B same sentence scored as user
jvs001->jvs002:VOICEACTRESS100_002,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,native_cross_speaker_openjtalk_target,lab_phone_mora,same_transcript_control,80,0.9615,openjtalk_accent_phrase_chain,heuristic,0.49992717215716265,0.9154929577464789,0.72,0.6,100,0.70678149584562,0.9154929577464789,0.72,1.0,,same speaker B native audio scored against OpenJTalk accent phrase target
jvs001->jvs002:VOICEACTRESS100_002,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,flat_pitch_correct_content,lab_phone_mora,same_transcript_control,52,0.9615,reference_audio_f0_cache,reliable,0.0,0.5041666666666667,0.58,0.0,45,0.5316656696780082,0.5041666666666667,0.58,0.45,,"semi-audio counterfactual: real same-sentence timing/content, flattened user F0"
jvs001->jvs002:VOICEACTRESS100_002,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,shuffled_random_pitch_correct_content,lab_phone_mora,same_transcript_control,59,0.9615,reference_audio_f0_cache,reliable,0.09486751642775205,0.7458333333333332,0.64,1.0,45,0.5361305495139815,0.7458333333333332,0.64,0.45,,"semi-audio counterfactual: real same-sentence timing/content, shuffled valid user F0 values"
jvs001->jvs002:VOICEACTRESS100_002,VOICEACTRESS100_002,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランドフーワギューニューヲベーストシタシロイクリームスープデアリボストンクラムチャウダートモヨバレル,52,jvs001,jvs002,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,/Users/ryukayuiii/Documents/jp_speech_eval_project/JVS/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_002.wav,wrong_accent_drop_correct_content,lab_phone_mora,same_transcript_control,75,0.9808,reference_audio_f0_cache,reliable,0.7220365646893688,0.7741935483870968,0.7058823529411765,0.0,45,0.8093531742480528,0.7741935483870968,0.7058823529411765,0.45,,semi-audio counterfactual: same content/timing with accent-drop transition suppressed or contradicted
